id,name,datim_id
418,ad Fufore Cottage Hospital,KrHj7Ycvctj
423,ad Garkida General Hospital,R2bNqBqJUIw
429,ad Township Clinic Jada,l01zG9ePfqt
431,ad Mayo Belwa Cottage Hospital,S5HvxHdK2Vt
432,ad Township Clinic Mayo-Belwa,DqWvsU2R8rw
437,ad Toungo Cottage Hospital,SSB1jXm3jdi
439,ad Major Aminu Urban Health Centre,hozfIkuo4eE
440,ad St. Francis Hospital,GbtTSJLBKbI
441,ad Yola Specialist Hospital,DPA6BxE9pzQ
442,ad GDCMH Ngurore,J2AZkcaFst0
443,ad Wauro-Jabbe Health Centre,gfEDfny3Hp0
444,ad Yola Federal Medical Centre,RxLmSTf6Kpl
466,ak Iko Town Primary Health Centre,jJwndfpsyuh
469,ak Abasi Ekeme Specialist Clinic,E9W18MRDpHr
473,ak Effoi Primary Health Centre,jfE3XKBsFEv
479,ak Iko Eket Health Centre,b1NaIppiMoR
480,ak Ikot Ebak Poly Clinic,uz0kFwLBXqH
484,ak Oron Eket Comprehensive Health Centre,ULIxtdPb4SY
490,ak Ekpene Obom QIC Rehabilitation Hosp,kmRTCY0esz0
491,ak Idung Assan Health Centre,jTiweHpRvd4
523,ak Etinan General Hospital,iaDfLinhr5R
524,ak Etinan Primary Health Centre,PHZvwBEXVNN
529,ak Ikot Obio Inyang Primary Health Centre,zFIutbAwvSN
536,ak Ndon Utim Primary Health Centre,f2d3oP0aYEL
542,ak Ibeno Cottage Hospital,IT1CAw7NmXo
546,ak Iwuo Achang Health Post,Z19xPuBd18b
548,ak Mkpanak Primary Health Center,YCp9aLmSmMt
554,ak Akpautong Mt. Camel Hospital,mxeORAzNzal
555,ak Nung Udoe Model Primary Health Centre,IBL5Nck2ZZK
558,ak Nung Udoe Primary Health Centre,ZEzwS0h2jaP
597,ak Base Ikot Abasi Primary Health Centre,C0810vNbF7i
637,ak Ebughu Primary Health Center,wByDgXTFiHI
638,ak Enwang Primary Health Centre,K66w8LC7LCL
639,ak Ibaka Primary Health Centre,A1xxdELs2fm
641,ak Uda Health Centre,NyAfbYPsCGy
643,ak Uyenghe Primary Health Centre,xLnu33wq3qm
644,ak Ikot Edebe Health Centre,rSmFsJpZIM9
654,ak Mkpat Enin Primary Health Centre,qsH4l8otzsd
656,ak Nsit Atai Primary Health Centre,TTOoi0wF4G9
658,ak Afaha Effiong OP Base Model Primary Health Centre,ulunZz6L3UM
663,ak Mbiokporo I Model Primary Health Centre,vPSKCcxAeTR
668,ak Ikot Ekwere Model Primary Health Centre,wQbXqZui5JX
670,ak Nsit Ubium Primary Health Centre,wqFu0L5LcPF
684,ak Eweme Model Primary Health Centre,jg0VSQiAIZZ
685,ak Ima Abasi Maternity Home,IU4lXhgmRYl
686,ak Mbokpu Oduobo Primary Health Centre,Bd9zC4esWvG
688,ak Okobo General Hospital,hURCKR0F6TX
689,ak Okopedi Primary Health Centre,Oj5Vfz8YO0F
690,ak Oti Oro Primary Health Centre,VV2YaEKzT3W
693,ak Base Abat Primary Health Centre,dmrFYPiuKAA
698,ak Ikot Eko Ibon General Hospital,lcN4UPIp3pu
705,ak Onna Comprehensive Health Centre,yoSOoXriY80
706,ak Esin Ufot Primary Health Centre,KXfvlSNOaBj
707,ak Eyo Abasi Health Post,oCg2otG1srn
708,ak Idua Assang Health Post,CTL8iNhJwBB
710,ak Oron Christ Victory Medical Centre,OeJa4jlFOD7
711,ak Oron General Hospital (Iquita),ae7th0rTtXI
712,ak Uwem Foundation Specialist Hospital,RtB8GUggaMq
714,ak Ekparakwa Health Centre,c3kbJokGc4i
716,ak Ikot Akpan Essien Health Centre,nGR9a1EEjSe
719,ak Ikot Okoro General Hospital,SkBX3Toxsby
725,ak Oruk Anam Primary Health Centre,gqJLAa2yUxY
729,ak Eyo Okponung Primary Health Centre,E3oAjMwPTJx
730,ak Eyofin Primary Health Centre,tnkmHqHxeyp
739,ak Ikot Akpa Ntuk Primary Health Centre,PBvN0n4G8hf
751,ak Ekpene Ibia Primary Health Center,l1uvWVMaokB
752,ak Ibiaku Isshiet Primary Health Centre,w5eSPCsTUXh
753,ak Ibiaku-Uruan Primary Health Centre,rVULNREkq0q
754,ak Idu-Uruan Primary Health Centre,lQTQ4TXvJyY
755,ak Ikot Otoenyie Health Post,KwX0sJpQG48
756,ak Ituk Mbang Methodist General Hospital,HfmNgrzgWEZ
757,ak Mbiaya Comprehensive Health Centre,gNraY9lqY0q
758,ak Ndon Ebom Primary Health Center,L9BtLFuM11b
759,ak Nwaniba Primary Health Centre,s04k18oAHbQ
760,ak Use Primary Health Centre,QMs8rQLRnLB
761,ak Base Urue Offong Primary Health Centre,O7ZT10hlis4
763,ak Ikpe Oro Health Post,L9aOC5x6Dm8
766,ak Mbokpu-Eyoakan Health Centre,hBMgAL3QIyX
767,ak Oduonim Health Post,bTaWOxebwQJ
769,ak Oruko General Hospital,amXJpQydaBz
770,ak Oruko Primary Health Centre,QWkhj6LkQMO
772,ak Oyoku Ibighi Health Centre,bpiu4ybCVk7
781,ak Gateway Hospital,CCcAjuVA9e3
785,ak Idoro Obio Health Centre,OX2RLpRPBK4
786,ak Ifa Atai Health Post,wj03dAcVomS
788,ak Ikot Ayan Ikono Primary Health Centre,OvwdEjZGjKt
790,ak Ikot Okubo Primary Health Centre,siGKb9DTTcY
791,ak LifeCare Clinic,Cmu3rczjJ3v
794,ak Mbak Etoi Primary Health Centre,JtzEimEaHSe
795,ak Mbiabong Primary Health Centre,YjxQYf0Wb3T
799,ak Oku Model Health Centre Uyo,ByosPb3uhpZ
800,ak Our Lady of Lourdes Infirmary,vVnDk5RgWyb
802,ak Premier Medical Centre,Wpbeq1IYUGg
803,ak Ubong Abasi Specialist Clinic,zXsarb4djvA
804,ak University of Uyo Medical Centre,zyNpCab6d3Z
806,ak University Teaching Hospital,qlDibKC0IEv
809,ak Uyo Base Primary Health Centre,uEVMPceCov1
810,ak Uyo Police Clinic,GNxyTCxwfNv
812,ak Uyo St Athanasius Medical Centre,nnjEYKiOt3O
1159,ba Abubakar Tafawa Balewa University Teaching Hospital,BHkRzQsQgSl
1161,ba Apple Clinic,MpmpfU1fB1W
1162,ba Bayara Infectious Diseases Hospital,ExiHYOsNk3q
1167,ba Mararraba Primary Health Centre,e1wNZo2KVzh
1171,ba Ni ima Consultant,Kw2RkNdIiXq
1172,ba Pohlycon Clinic,psgTbmKsVCn
1173,ba Reemee Clinic,f6kjRzEuJzu
1174,ba State Low Cost Primary Health Centre,bQStBgfeo52
1177,ba Urban Maternity,bT2ZyZLk44k
1179,ba Wuntin Dada Maternal and Child Health Clinic,LH4mky1erCW
1181,ba Bogoro General Hospital,Xz63xHPUIiS
1183,ba Dass General Hospital,TmGBqInZVhq
1185,ba Kafin Madaki General Hospital,OcFekRBRw8K
1186,ba Giade General Hospital,wXZtro6nbKm
1187,ba Giade Maternal & Child Health Clinic,qtC7BSzSU42
1188,ba Jama'are General Hospital,ZbULgMXKgbM
1189,ba Azare Federal Medical Centre,bCq8A5XWjyg
1190,ba Azare General Hospital,QJUFHpmYYnn
1192,ba Misau General Hospital,ooKDMYJdMx4
1194,ba Shira Yana General Hospital,IwToYx767df
1198,ba Tafawa-Balewa General Hospital,l4M4UZXZ63H
1199,ba Toro General Hospital,m2jjxq7eDXo
1200,ba Warji General Hospital,dDjYg2AJ2Uh
1201,ba Katagum Zaki General Hospital,bwdwu8JzR88
1202,bo Askira General Hospital,RWQP4pGxyYS
1207,bo Biu General Hospital,gF8UahvIXw9
1208,bo Briyel General Hospital,VZCEov8JZIe
1214,bo Lassa General Hospital,bUhfkjY3yVP
1216,bo Muhammed Shuwa Memorial Hospital,bxBIxJ7LJ4Q
1217,bo Maiduguri State Specialist Hospital,fakjSY6P1ED
1222,bo University of Maiduguri Teaching Hospital,FQ0Jc3pO5Op
1228,by Okpoama Cottage Hospital,uuRq7RHFOm4
1232,by Twon-Brass General Hospital,VmAoro8EGIz
1259,by Nembe General Hospital,PqIG8tDLCBv
1272,by Otuasega Cottage Hospital,FeJHkTR47jp
1293,by Agudama Tobis Clinic and Consultants,cMNSAETndkr
1298,by Family Support Program Clinic,PDYMEuWILSG
1306,by Igbogene Tuberculosis and Leprosy Referral Centre,eOrrK6aBIrt
1308,by Inri Etekwe Glory Land,GKcLvNya0v1
1310,by Kpansia Asueife New Life Hospital,hkVNPOmvZrx
1317,by Niger Delta University Teaching Hospital,PI23kX7kKce
1324,by Yenagoa Federal Medical Centre,DBYxE32AtXd
1340,cr Eja Memorial Hospital,IWhCUSOysT0
1342,cr Igbo-Imabana Model Primary Health Centre,ElfpnKDYLsM
1349,cr Aningeje Primary Health Centre,Dvux7A7zw9Y
1356,cr Mfamosing Primary Health Center,gNfPmS9Pmbr
1357,cr Mma Efa Health Centre,VJAGNlxdeyv
1359,cr Oban Health Centre,V4JM5LpUxPZ
1367,cr Akpabuyo St Joseph Hospital,B3qkvSTCE5I
1376,cr Ikot Edem Odo Health Centre,GnMobaPqjhE
1393,cr Ekpri Obutong Health Centre,CSK6FErktDd
1400,cr Ikang Primary Health Centre,ikK22AdDdjA
1452,cr Akpet Central Cottage Hospital,sWPoQ1F0qcV
1455,cr Aya Medical Centre,X1b3ELB9LTX
1504,cr Okundi Comprehensive Health Centre,gR8LIQkSMn8
1514,cr Bakor Medical centre,HGPAs1Y38ej
1517,cr Calabar General Hospital,BVEHIFI2Fea
1519,cr Diamond Hill Health Centre,vA2wulbOaP2
1522,cr Ekorinim Health Centre,hZUBGSg9eB9
1523,cr Emmanuel Infirmiry,yv1jnvahDdk
1524,cr Faith Foundation Clinic,VJqZlhpcpX8
1528,cr Ikot Ekpo Health Post (Ward 10),aznDINlQE34
1529,cr Ikot Enebong Health Post,Jg82rXVgIjp
1531,cr Ishie Health Post,BUJIxAfjuVT
1532,cr Kasuk Health Centre,PaUbHqs6Cmi
1534,cr Nyahasang Health Centre,yHC4slVfeDb
1535,cr Police Medical Clinic,D0aCFnLFrJ1
1536,cr University of Calabar Medical Centre,zYDjpVGyR6R
1537,cr University of Calabar Teaching Hospital,IheVn83ZMpW
1539,cr Akani Esuk Health Centre,q8tjHpPgHAu
1540,cr Anantigha Primary Health Centre,PqoYAdGV7tM
1541,cr Anderson Primary Health Centre,XHXGJpskTtQ
1543,cr Calabar South Family Health Centre,sdO42TShMDc
1544,cr Cross River University of Science and Technology (CRUTECH) Medical Centre,VtLu3s7tC8l
1545,cr Dr Lawrence Henshaw Memorial Hospital,SC6fbTfQufS
1546,cr Ekpo Abasi Primary Health Centre,Xb8UqZSE3u2
1547,cr Essierebom Primary Health Centre,TqP0yUIXyDJ
1548,cr Goldie Clinic,gSuWQicbYKV
1549,cr Henshaw Town Health Post,a3Q0ysm4zBc
1552,cr Mambo Clinic,aG634TzZo19
1553,cr Mount Zion Medical Centre,Xx0GEF0s5AY
1555,cr Peace medical centre,AfNYqbO40Ek
1581,cr Country Specialist Hospital,CQK2PPiXKcU
1589,cr Holy Family Catholic Hospital,i4f2YNirAqU
1594,cr Melrose Hospital,FfoxmHVeNxv
1648,cr Ekana Medical Centre,LMQcW0HyCBK
1657,cr Obubra Maternal and Child Health Clinic,sUZAAfJqUlq
1714,cr Ikot Effiong Otop Comprehensive Health Centre (UCTH Annex),XTWTNkwmuNQ
1724,cr Ukpem General Hospital,CUOBDrrXyZ2
1792,cr Ugep General Hospital,IdwG8w9urm9
1834,ed Ibillo General Hospital,YPQQU02Is0Q
1836,ed Igarra General Hospital,FsXKw0S3P1q
1843,ed University of Benin Teaching Hospital (UBTH),bz9lwL7ta7W
1849,ed Irrua Specialist Hospital,NIulfQauxlQ
1857,ed St. Camillus Hospital,LORV7JnPq20
1858,ed Uromi Central Hospital,cnBWjGNRURc
1859,ed Ubiaja General Hospital,FNn62Ztq2PG
1862,ed Ekpoma General Hospital,MbdvhJg5Jag
1863,ed Iruekpen General Hospital,NAGd5Q25uMa
1871,ed Agenebode General Hospital,q2JGDM361oa
1873,ed Okugbe Â Primary Health Centre,hLmApvMWwhL
1875,ed Auchi Central Hospital,MuYD8OawdzS
1876,ed Notre Dame Hospital,bSGThj4mGr5
1885,ed Faith Mediplex,qENsgINaipc
1890,ed St Philomena Catholic Hospital,BVY7GQhKEOJ
1891,ed Stella Obasanjo Women and Children Hospital,ClvpY2CmBNj
1896,ed Oben Cottage Hospital,cihXXrU8ccN
1897,ed Ossiomio Specialist Hospital,ev7p3ZXSypf
1901,ed Iguobazua General Hospital,BNvTkO5uvaN
1903,ed Udo Primary Health Centre,BdkPVpsPvY2
1905,ed Usen General Hospital,nWEz7nGVta0
1907,ed Afuze Referral Medical Centre,sOytnsaHQHm
1916,jg Bamaina Primary Health Centre,wdDMO7hGPd9
1917,jg Birnin Kudu General Hospital,kkXXkrDgjHX
1918,jg Birnin-Kudu Federal Medical Centre,EgGUTcI2hMW
1924,jg Dutse General Hospital,a7UjUzng5CR
1925,jg Rasheed Shekoni Specialist Hospital,DN4mnc2LSZw
1928,jg Gwaram Primary Health Centre,tt3h2ApZs2w
1932,jg Gawuna Primary Health Centre,ZagvON6QNVv
1933,jg Hadejia General Hospital,dGWGBrHxH5l
1934,jg Kofar Arewa Primary Health Centre,j8eePYmxQMa
1937,jg Jahun General Hospital,FxDuhc7a7mg
1942,jg Kazaure General Hospital,NeH5Pssl5JX
1946,jg Ringim General Hospital,VEB3JmuvRvA
1980,kn Danbatta General Hospital,oqoqv4gYI7b
1989,kn Dawakin Kudu General Hospital,OYIdJmk5zld
2003,kn Dawakin Tofa General Hospital,kUtyn0U4Zl4
2021,kn Doguwa General Hospital,KrsNTx44G1I
2036,kn International Clinic,jLRtj3a2Tt2
2038,kn Kano Infectious Diseases Hospital,o7hgxd8M2UG
2039,kn Khadijat Memorial Hospital (FGE),A30KxirCAp2
2046,kn Rijiyar Lemo Maternal Child Health,XsH3pb5MppK
2049,kn Sheikh Mohammed Jidda General Hospital,gKQbBiMDnKy
2080,kn Gwarzo General Hospital,EVCDM84gVrc
2102,kn Hasiya Bayero Paediatric Hospital,RHLPUEDKJTO
2105,kn Murtala Mohammed Specialist Hospital,MI3hLVjIws5
2106,kn Nuhu Bamalli Maternity Hospital,JFPyJJ7irKh
2140,kn Kura General Hospital,qkQLc203fsM
2162,kn Rano General Hospital,ldni2yzxkeF
2177,kn Rogo General Hospital,dWH4Pf6d3E1
2200,kn Sumaila General Hospital,LCjPSP6NXnx
2221,la Mobonike Hospital,A4hw6FQpJfX
2222,la Odunbaku Primary Health Centre,Y5ReWuj8W1M
2224,la Orile Agege General Hospital,XxYNIkLVpEa
2226,la Powerline Primary Health Centre,NhvF5diSS13
2227,la Promise Medical Centre,wzSzRiZrZTF
2228,la Sango Primary Health Centre,EnyrCHOxsJ3
2229,la Unita Hospital,bJl8BHYrNFG
2230,la Ajeromi General Hospital,SEyGljwDspr
2231,la Akere Primary Health Centre,J7FjUrPb2sL
2232,la All Souls Hospital,lzLciumbY6G
2233,la Amukoko Primary Health Centre,QynRyL8KjTi
2235,la Faleti Medical Centre,PoaLWGah1Ft
2236,la Ibafon Primary Health Centre,godWz2Ow5k3
2237,la Layeni Primary Health Centre,K7lUFNe9aXC
2244,la Tolu Primary Health Centre,be2XWFgdUFW
2245,la Ahamadiyya Muslim Hospital,my3FxDlRhzI
2246,la Apapa General Hospital,bPHCezfUwaP
2249,la Ijora Primary Health Centre,cgvllBRlUt6
2251,la Olojowon Primary Health Centre,wh1fufa69db
2253,la Sacred Heart Clinic,gXNwPNpiX7D
2257,la Ajara Primary Health Centre,HOosZvIOTVg
2259,la Apa Primary Health Centre,Pz2IHYq2xsD
2262,la Badagry General Hospital,UzCw35LZV95
2274,la Seme Primary Health Centre,aGuDfDDP3kA
2284,la Gbagada General Hospital,rp69pX7NNl2
2289,la Ketu Primary Health Centre,DpZOtdkfW60
2301,la Iga Idugaran Primary Health Centre,Nid1f3KACfp
2302,la Lagos General Hospital,zyxDXEYBxqA
2303,la Lagos Island Maternity Hospital,ixltW74M2ch
2304,la Massey Street Childrens Hospital,Zuz01IzErgM
2308,la Onikan Health Centre,rbNoobbUgpn
2309,la Sura Primary Health Centre,s3DOqj9T8aD
2315,la Harvey Road Comprehensive Health Centre,zvv5uWH8hNf
2318,la Lagos State Mainland Hospital,kzjkCk8UnGR
2323,la RCCG-Redeemed Aid Programme Action Committee CSO (Lagos),FMV3Cu3WZmN
2324,la Simpson Primary Health Centre,PeH3XKs9FBu
2331,la Iba Primary Health Centre,Gm09bC53qeR
2334,la Ijanikin Primary Health Centre,TzhekAB5jNB
2341,la Ojo Primary Health Centre,YE1lCEtYmen
2343,la Oyem's Hospital,jYwlPVWe1Of
2353,la Akerela Primary Health Centre,pHurIQKNsWD
2356,la Baruwa Primary Health Centre,JOqyhnhH3M4
2357,la Coker Aguda Primary Health Centre,oi20uK7Rp5J
2359,la Ejire Primary Health Centre,uaMxMXAlb8k
2363,la Randle General Hospital,J3Rct6AHcSm
2743,yo Gashua General Hospital,VUQpWeYseot
2746,yo Fika General Hospital,OQYeCajbh5G
2748,yo Nguru Federal Medical Centre,LN72HGCti4v
2749,yo Potiskum General Hospital,z6APuLTiHAX
2759,cr Calabar Women and Children Hospital,rwCzE0SdIor
2772,ak Priscon Clinic,JDpK41NqR4I
2773,ak St. Patrick Hospital,RuHdlmhOXxR
2774,ak First Line clinic,haVyJANCBNp
2776,ak Sheltered specialist hospital,OQS9c6ymKTk
2783,la Shomolu General Hospital,O7WFDibihvb
2807,la Mayfair Medical Centre,vZZ0OU8Skl0
2809,la St. Milla Hospital,llIuPTntSEw
2812,ak Caleb Medical Centre,FEqplgChAw6
2814,ak St. Luke's Hospital Anua,SvuAvAPSwgQ
2815,ak Eket Immanuel General Hospital,QpIjNJI8vUS
2817,ak Ikot Abasi General Hospital,cYvZUmSQTyQ
2819,ak Cottage Hospital Ekpene Obo,orIlCoztYMt
2820,ak Ikot Ekpene Udo Cottage Hospital,TvLTBtN2qJt
2822,ak Ikot Abia Cottage Hospital,x46m45UoY7H
2823,ak Cottage Hospital Akai Ubium,GeUxI4ynODN
3055,la Ilado Primary Health Centre,wr9qVe5a1vQ
3061,la Dunia Hospital,vigmnQGxoz4
3072,la Deetab Hospital,WXKBjZojExZ
3080,ak Ikot Iko Health Centre or Nung Oku Health Centre,C1vafUnVo60
3081,ak Uquo Primary Health Centre,hxMSGzxlJoy
3093,kn Tiga General Hospital,IwTrwdDosMz
3094,kn Bichi General Hospital,iHPt9BTPDy6
3095,kn Dala Maternal and Child Health Clinic,yNjhW4au9Gd
3096,kn Gaya General Hospital,kX8xnWAHMN1
3097,kn Gezewa General Hospital,cDBBCOyZlvK
3098,kn Karaye Comprehensive Health Center,DZxg34grxaq
3099,kn Comprehensive Health Centre Kiru,dFYjCTSglK9
3100,kn Kumbotso Comprehensive Health Center,FI1b1lrL3xn
3101,kn Ahmadiyya Muslim Hospital,JEmDPeH6K88
3102,kn Evangelical Church of West Africa (ECWA) Clinic and Maternity,AkaXCc7XRWc
3103,kn Mohammad Abdullahi Wase Specialist Hospital Nassarwa,ClB8Ry98tWe
3104,kn Takai Comprehensive Health Center,PSbDeKmKCVe
3105,kn Al Noury Specialist Hospital,v5amiydkXFR
3106,kn Aminu Kano Teaching Hospital - Kano,E5jz9JxYBuv
3107,kn Tsanyawa Comprehensive Health Center,WelDMwOKCUx
3108,kn Tudun Wada General Hospital,jr0U0XTwpCo
3109,kn Mariya Sanusi Primary Health Care,PDVQpUxTXWh
3110,kn Waziri Shehu Gidado Hospital,tZy8wIM53xT
3116,ak Ikot Obio Edim Health Centre,F0wmFxcGemm
